M;FE_AErr_h1;FE_phErr_h1; SR_AErr_h1;SR_phErr_h1; WF_AErr_h1;WF_phErr_h1; MH_AErr_h1;MH_phErr_h1; WR_AErr_h1;WR_phErr_h1; SV_AErr_h1;SV_phErr_h1; FE_AErr_h2;FE_phErr_h2; SR_AErr_h2;SR_phErr_h2; WF_AErr_h2;WF_phErr_h2; MH_AErr_h2;MH_phErr_h2; WR_AErr_h2;WR_phErr_h2; SV_AErr_h2;SV_phErr_h2 
7.3;0.002331705390732797;0.00288027212892672;-1.592059817312474e-13;-1.144539079605991e-14;0.0003219590374583525;0.9424787071338894;0;-5.36195775998232e-18;0.004633784583248257;NaN;5.372327217023631e-05;-2.790379299152044;NaN;NaN;-2.54157805912314e-13;-2.276646551814037e-14;2.14549057044322e-05;-1.25662880666593;0;4.754168152684745e-17;NaN;NaN;-0.000110942514756171;0.7030322890391411
7.4;0.000505846448431102;0.004402654797794447;-1.59539048638635e-13;2.315432590967776e-15;0.000226744050437766;1.256637688439949;0;-8.897233311992192e-18;0.00483412453637766;NaN;-5.401457648768204e-05;-2.773776824162868;NaN;NaN;-2.550182287563985e-13;4.524063766825453e-15;1.975590589708975e-05;-0.6283022236413205;0;2.864871837713741e-16;NaN;NaN;0.0001088538379039744;0.7350023784840765
7.5;1.604451189041178e-05;0.005658766734159215;-1.5931700403371e-13;-6.544965643297777e-15;-0.0003247061765687675;1.570796326794896;0;-8.105640891487019e-18;0.004987562112089172;NaN;5.372327217023631e-05;-2.790379299152044;NaN;NaN;-2.544492394562781e-13;-1.304918410344992e-14;1.927169535065332e-11;1.963255792807153e-05;0;1.68798030699045e-16;NaN;NaN;-0.000110942514756171;0.7030322890391411
7.600000000000001;-0.0006518422269244928;0.0042605296973246;-1.5931700403371e-13;-3.03721133048644e-15;0.0002248541298419671;-1.25663649448184;0;-1.554312234475219e-15;0.005090267664075387;NaN;5.372327217023631e-05;-2.790379299152044;NaN;NaN;-2.546851618490109e-13;-5.908848225636711e-15;2.138740547373563e-05;0.6283339886898243;5.551115123125783e-17;-2.498001805406601e-15;NaN;NaN;-0.000110942514756171;0.7030322890391411
7.7;-0.002541309444101691;0.002953685271342543;-1.594280263361725e-13;4.046397600895001e-15;0.0003214096528962873;-0.9424770103409017;-6.661338147750939e-16;2.553512956637862e-15;0.005146025415389666;NaN;-5.401457648801511e-05;-2.773776824162868;NaN;NaN;-2.551153732710532e-13;7.991489208805383e-15;2.358599403895489e-05;1.256644141954721;-5.551115123125783e-17;3.885780586188049e-15;NaN;NaN;0.000108853837904016;0.7350023784840761
7.800000000000001;-0.002431799778349064;0.002784828833038766;-1.5931700403371e-13;4.07248026302864e-15;0.0002061904158723316;-0.6283179394446285;0;-3.908751067837942e-18;0.005163429703544331;NaN;-5.401457648801511e-05;-2.773776824162868;NaN;NaN;-2.551431288466688e-13;8.190046593681059e-15;2.198592630670015e-05;-1.256637949343153;0;-2.877491030381112e-16;NaN;NaN;0.000108853837904016;0.7350023784840761
7.9;-0.0005576426054902939;0.001302923243089005;-1.59539048638635e-13;2.102707104928139e-15;6.139742721833485e-05;-0.314159066342134;-5.551115123125783e-16;2.164934898019056e-15;0.005153252735640379;NaN;-5.401457648801511e-05;-2.773776824162868;NaN;NaN;-2.550459843320141e-13;4.038717060195066e-15;2.033894888357757e-05;-0.6283183760511984;-1.665334536937735e-16;7.216449660063529e-15;NaN;NaN;0.000108853837904016;0.7350023784840761
8;2.220446049250313e-16;-5.10702591327572e-15;0;-4.874106975823287e-15;4.884981308350689e-15;-7.358303975633972e-16;-7.771561172376096e-16;-1.165734175856415e-15;0.005126308539468161;NaN;5.372327217023631e-05;-2.790379299152044;NaN;NaN;2.636779683484747e-16;-9.603584780581595e-15;4.718447854656915e-16;-1.493935437999824e-15;1.249000902703301e-16;-3.885780586188043e-15;NaN;NaN;-0.000110942514756171;0.7030322890391411
8.100000000000001;0.000520999308867065;0.001197045572498556;-1.5931700403371e-13;-2.035419043416654e-15;6.067864154402081e-05;0.3141594658255576;8.881784197001252e-16;-1.776356839400249e-15;0.005091972208419948;NaN;5.372327217023631e-05;-2.790379299152044;NaN;NaN;-2.547267952124344e-13;-3.843643395570094e-15;2.089596566251517e-05;0.6283184766905104;4.85722573273506e-16;-8.326672684688634e-16;NaN;NaN;-0.000110942514756171;0.7030322890391411
8.199999999999999;0.002150875396625063;0.002391614672095699;-1.589839371263224e-13;-1.25883616286897e-14;0.0002056427265479943;0.6283191293028921;0;-7.394415887035731e-18;0.005057370139266215;NaN;5.352586161455619e-05;-2.790693286264442;NaN;NaN;-2.540884169732749e-13;-2.445955389191739e-14;2.333473888702087e-05;1.256634778700506;0;1.371185646514746e-16;NaN;NaN;-0.0001110590037608633;0.7024038366815488
