M;FE_ct; SR_ct; WF_ct; MH_ct; WR_ct; SV_ct 
13.5;0.02888989448547363;6.421361923217773;0.02871608734130859;5.960464477539062e-06;0.01977181434631348;113.925929069519
13.6;0.02906584739685059;6.571552991867065;0.02913188934326172;5.006790161132812e-06;0.02020716667175293;115.3014800548553
13.7;0.02886795997619629;6.507753849029541;0.02915501594543457;5.960464477539062e-06;0.01995086669921875;115.7518758773804
13.8;0.02893996238708496;6.552385091781616;0.02859807014465332;5.006790161132812e-06;0.01969504356384277;116.5927891731262
13.9;0.03029799461364746;6.832102060317993;0.0299069881439209;5.006790161132812e-06;0.0206458568572998;119.5468430519104
14;0.03037786483764648;6.749937057495117;0.02948498725891113;3.004074096679688e-05;0.02048707008361816;119.0954689979553
14.1;0.0295710563659668;6.774724960327148;0.02938699722290039;5.960464477539062e-06;0.02053594589233398;119.327476978302
14.2;0.02913093566894531;6.835107088088989;0.02964901924133301;5.006790161132812e-06;0.02008199691772461;120.2480370998383
14.3;0.02972579002380371;6.829923152923584;0.02962207794189453;5.960464477539062e-06;0.01999592781066895;120.2597761154175
14.4;0.02967405319213867;7.022842884063721;0.0297701358795166;5.006790161132812e-06;0.02030801773071289;121.9945659637451
14.5;0.02928400039672852;6.9915452003479;0.02982711791992188;5.006790161132812e-06;0.02021980285644531;122.7077090740204
14.6;0.03039383888244629;7.100651979446411;0.03035593032836914;5.006790161132812e-06;0.02030086517333984;124.4311149120331
14.7;0.0307610034942627;7.155153036117554;0.02993488311767578;5.960464477539062e-06;0.0205540657043457;125.2112748622894
14.8;0.03064680099487305;7.218575954437256;0.03074097633361816;5.960464477539062e-06;0.02062702178955078;125.9685969352722
14.9;0.03072905540466309;7.20625114440918;0.03040814399719238;5.960464477539062e-06;0.02042388916015625;126.9147779941559
15;0.03126907348632812;7.252711057662964;0.03044795989990234;5.006790161132812e-06;0.02085995674133301;126.9862217903137
15.1;0.03197407722473145;7.37431788444519;0.03064703941345215;5.960464477539062e-06;0.02080798149108887;129.3160650730133
15.2;0.03293204307556152;7.445888042449951;0.03080916404724121;5.006790161132812e-06;0.02068305015563965;129.9606590270996
15.3;0.03035402297973633;7.394148826599121;0.0302879810333252;5.006790161132812e-06;0.02047491073608398;129.5224969387054
15.4;0.03151392936706543;7.482690095901489;0.03030300140380859;5.006790161132812e-06;0.02087903022766113;131.072988986969
15.5;0.03139185905456543;7.52250599861145;0.03074502944946289;5.006790161132812e-06;0.02049493789672852;132.8952009677887
15.6;0.0317389965057373;7.614610910415649;0.03097891807556152;5.006790161132812e-06;0.02145290374755859;133.6174759864807
15.7;0.03203105926513672;7.616669893264771;0.03095102310180664;5.006790161132812e-06;0.02060389518737793;133.1725678443909
15.8;0.03273916244506836;7.653197050094604;0.03076076507568359;5.006790161132812e-06;0.02050113677978516;135.1216630935669
15.9;0.03508496284484863;7.797538995742798;0.03197002410888672;8.821487426757812e-06;0.02112817764282227;135.6973960399628
16;0.03239583969116211;7.974579095840454;0.03204798698425293;5.960464477539062e-06;0.0220649242401123;138.1678869724274
16.1;0.03088998794555664;7.893563985824585;0.03092002868652344;5.960464477539062e-06;0.02112293243408203;136.7090840339661
