f_FFT;A_FFT;f_WFFT;A_WFFT;f_resamplingSVstream;A_resamplingSVstream;f_splineresample;A_splineresample
192;0.001530962898021222;192;1.450091468929751e-09;201.1914893617021;2.684376754510241e-10;192.9795919136521;2.748587580944912e-11
193;0.001513613352310209;193;1.660168096048472e-09;202.2393617021277;2.668835891858177e-10;193.984693954869;2.508709421991297e-11
194;0.001496212085113;194;1.884381049970853e-09;203.2872340425532;2.700768655909878e-10;194.9897959960859;2.243339397114198e-11
195;0.001478746184593605;195;2.12364175611282e-09;204.3351063829787;2.724338578166536e-10;195.9948980373029;1.966998776987048e-11
196;0.001461202228809513;196;2.379138068815913e-09;205.3829787234042;2.743315133970221e-10;197.0000000785198;1.700387564265007e-11
197;0.001443566248929163;197;2.652307971446222e-09;206.4308510638298;2.694263502251824e-10;198.0051021197367;1.477106454148381e-11
198;0.001425823692561214;198;2.944834894465104e-09;207.4787234042553;2.884554241441852e-10;199.0102041609537;1.349306851280539e-11
199;0.001407959388000269;199;3.258656593034549e-09;208.5265957446809;2.89711831436157e-10;200.0153062021706;1.373891645990765e-11
200;0.001389957510514065;200;3.595985335577162e-09;209.5744680851064;2.934489368914522e-10;201.0204082433875;1.569939276143045e-11
201;0.001371801552226177;201;3.959336531600505e-09;210.6223404255319;2.980351334536901e-10;202.0255102846045;1.907377889800007e-11
202;0.001353474297723028;202;4.351564661378594e-09;211.6702127659574;3.032664885495621e-10;203.0306123258214;2.345169514191398e-11
203;0.001334957808288068;203;4.775911628857266e-09;212.718085106383;3.091186956072721e-10;204.0357143670384;2.854768325316469e-11
204;0.001316233418705035;204;5.236057099621575e-09;213.7659574468085;3.156190966185754e-10;205.0408164082553;3.420054530688734e-11
205;0.001297281751972642;205;5.736190234234758e-09;214.813829787234;3.228195575256799e-10;206.0459184494723;4.032477723614644e-11
206;0.001278082759176049;206;6.281080850110583e-09;215.8617021276596;3.307899670333224e-10;207.0510204906892;4.68737825397485e-11
207;0.001258615794325163;207;6.876178401780654e-09;216.9095744680851;3.39616684549974e-10;208.0561225319061;5.381551375657252e-11
208;0.001238859737488945;208;7.527715810733052e-09;217.9574468085106;3.494046937181288e-10;209.0612245731231;6.10941950489742e-11
209;0.001218793184344682;209;8.242843533386819e-09;219.0053191489362;3.602804910912937e-10;210.06632661434;6.838981268741403e-11
210;0.001198394726860643;210;9.029780578327436e-09;220.0531914893617;3.723970335493667e-10;211.0714286555569;8.278871428625472e-11
211;0.001177643358930308;211;9.897999452122982e-09;221.1010638297872;3.85939864299709e-10;212.0765306967739;8.831102721039219e-11
212;0.001156519053403387;212;1.085844169693234e-08;222.1489361702127;4.011362615562497e-10;213.0816327379908;9.659427999440721e-11
213;0.001135003574555389;213;1.192377728513906e-08;223.1968085106383;4.182667712842347e-10;214.0867347792077;1.063788510646465e-10
214;0.001113081614680127;214;1.310870925037292e-08;224.2446808510638;4.376817478547268e-10;215.0918368204247;1.168639157488952e-10
215;0.001090742378149395;215;1.443033815112934e-08;225.2925531914894;4.598240963352879e-10;216.0969388616416;1.280531827597416e-10
216;0.001067981785224926;216;1.590858794265041e-08;226.3404255319149;4.852617335665117e-10;217.1020409028586;1.399955102555119e-10
217;0.001044805537205016;217;1.756670976111284e-08;227.3882978723404;5.147347101165096e-10;218.1071429440755;1.527593835328708e-10
218;0.001021233382746334;218;1.943186200889737e-08;228.4361702127659;5.49225764817617e-10;219.1122449852924;1.664285991672287e-10
219;0.000997305064340606;219;2.15357767209228e-08;229.4840425531915;5.90067932042298e-10;220.1173470265094;1.811025406283652e-10
220;0.000973088619974405;220;2.39154953579559e-08;230.531914893617;6.391162321754134e-10;221.1224490677263;1.968979035249278e-10
221;0.000948691988126026;221;2.661415142951258e-08;231.5797872340426;6.990298506851132e-10;222.1275511089433;2.1395192488389e-10
222;0.0009242792366891722;222;2.968172385135337e-08;232.6276595744681;7.737613696292915e-10;223.1326531501602;2.324265009449265e-10
